"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"Axis [s]51",0,0.197192380009865,0.23732690999637,0.159677222454854,0.158373734949075,0.297528931802904,0.217878821443559,0.239108196875429,0.226322130076304,0.216232255614469,0.3328472062387,0.316486366507381,0.267206903334076,0.138225558524355,0.241514725423466,0.257926133770629
"Axis [s]52",0.0669999999999997,0.256752427195246,0.310684341073428,0.248802240250103,0.247296120451143,0.350266719476004,0.307414418614847,0.317700144445302,0.286765175609213,0.300668214159147,0.395470587651436,0.390009646106454,0.333957446140032,0.222560000456637,0.309805583203062,0.336945298868618
"Axis [s]53",0.134,0.309379231451743,0.372243526765438,0.322630118042874,0.320270976483743,0.397820863057389,0.379808642676168,0.384746348779284,0.341253887728538,0.371715549605387,0.450698155866026,0.45115140062816,0.392479211292964,0.294225571828169,0.368752286960831,0.403466268762545
"Axis [s]54",0.201,0.355961437873498,0.424941545868341,0.384006548602438,0.380455193653437,0.440718461000427,0.438726351337229,0.442826106871555,0.389009919906424,0.431650726775773,0.499442674906717,0.502957864869164,0.443820278355416,0.356130759160636,0.419712655875782,0.457984793694983
"Axis [s]55",0.268,0.397272136027636,0.469039071245844,0.435241512797652,0.430372188514202,0.479432822860774,0.487035478176391,0.491758860651249,0.431595063807236,0.482359080077232,0.542503617380659,0.546983589375193,0.489524222869192,0.408199754522745,0.463845525070098,0.503549092596213
"Axis [s]56",0.336,0.434500098732293,0.506815632017193,0.478210297438906,0.472039242198519,0.514388960303284,0.526980741743365,0.533739038493022,0.469633813723423,0.525402115832641,0.581115035279931,0.584520556477555,0.529053203060273,0.452853352920389,0.502139939469683,0.541775309397901
"Axis [s]57",0.403,0.467142274941156,0.539430280642078,0.514931661781838,0.507069236155098,0.5464160687931,0.560774442881988,0.569839916543794,0.503673467169455,0.562577997909224,0.61476170961916,0.616642625890624,0.563817845019941,0.491290087650504,0.535440063840804,0.573984737419301
"Axis [s]58",0.47,0.496286966643341,0.567817567813608,0.54557546073736,0.537159986536293,0.574918881084934,0.588813570778551,0.600967335944697,0.534193711316053,0.593876636467251,0.644583162364784,0.64424245437791,0.594423381640257,0.52451032727584,0.564870546042693,0.601257674356927
"Axis [s]59",0.537,0.522376312578168,0.592731469895562,0.571729503788565,0.562469261845252,0.600699902613736,0.612714574861675,0.627885856387914,0.5616150179101,0.620774425420432,0.671049066578184,0.668392329833237,0.621397696907906,0.553349162450086,0.590187794747594,0.624477439350562
"Axis [s]60",0.604,0.545795070936579,0.614780705736964,0.594206859422194,0.584299083578207,0.624035032701759,0.633319278036985,0.651240823837231,0.586655533646819,0.64400476101051,0.694570837744452,0.689005894554536,0.645201217695262,0.578503831652291,0.612378602726299,0.644641121099891
"Axis [s]61",0.671,0.5668780939894,0.634734964113483,0.61366812109413,0.603307697800945,0.645172025012307,0.651287789546813,0.671860086163534,0.60890567392943,0.664175398485472,0.715508869210669,0.706976533071734,0.666235540443512,0.600864825912529,0.631890138334518,0.661752897835439
"Axis [s]62",0.738,0.585916828532945,0.652409532559314,0.630650143635369,0.620022061238554,0.66433336068728,0.667138072712356,0.689602233489015,0.629036014083975,0.681790062337221,0.734178868858015,0.722729919809476,0.685112081417513,0.620266250715593,0.649104181048746,0.676614194071192
